name,requirements,details,full_address,short_address,street,city,state,zip,phone,hours,tags
St. Vincent De Paul Society Pantry,"Requirements: ID, proof of address, Social Security card for dependents (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"2101 Leavenworth St, Omaha, NE 68105","2101 Leavenworth St, Omaha, NE 68105",2101 Leavenworth St,Omaha,NE,68105,(402) 779-8499,Tues 9:00 am - 12:30 pm; Thurs 9:00 am - 12:30 pm,Food Pantry
Table Of Grace,Requirements: None.,Details: USDA/TEFAP Provider.,"1114 Toledo St, Sidney, NE 69162","1114 Toledo St, Sidney, NE 69162",1114 Toledo St,Sidney,NE,69162,(308) 765-0362,"Thurs 1st, 3rd, and 5th Thurs 11:00 am - 1:00 pm; 2nd and 4th Thurs 5:30 pm - 7:00 pm",Food Pantry
The Bread Box Inc.,Requirements: Proof of residnecy and phone number (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"311 N Way Ave, Sutton, NE 68979","311 N Way Ave, Sutton, NE 68979",311 N Way Ave,Sutton,NE,68979,(402) 773-4658,Fri 1:00 pm - 2:00 pm; Sat 9:00 am - 10:00 am,Food Pantry
The Minden Closet Food Pantry,Requirements: None. (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"341 E 4th St, Minden, NE 68959","341 E 4th St, Minden, NE 68959",341 E 4th St,Minden,NE,68959,(308) 832-1221,"Tues By appointment, 10:00 am - 4:00 pm",Food Pantry
The Table at Salem Food Pantry,Requirements: None. Please call for an appointment if outside of time frame listed.,NA,"406 E Military Ave, Fremont, NE 68025","406 E Military Ave, Fremont, NE 68025",406 E Military Ave,Fremont,NE,68025,(402) 981-0140,"Sat Last Sat of each month, 9:00 am - 11:00 am",Food Pantry
Together (Council Bluffs Location),Requirements: Some products may only be available to Iowa residents.,Details: USDA/TEFAP Provider.,"830 N 14th Street, Suite 101, Council Bluffs, IA 51501","830 N 14th Street, Suite 101, Council Bluffs, IA 51501",830 N 14th Street,Suite 101,NA,NA,https://togetheromaha.org/,Mon 12:00 pm - 4:00 pm; Tues 2:00 pm - 6:00 pm; Wed 12:00 pm - 4:00 pm; Thurs 2:00 pm - 6:00 pm; Fri 12:00 pm - 4:00 pm,Food Pantry
Together (Omaha Location),Requirements: Some products may only be available to Nebraska residents.,Details: USDA/TEFAP Provider.,"812 S 24th St, Omaha, NE 68108","812 S 24th St, Omaha, NE 68108",812 S 24th St,Omaha,NE,68108,https://togetheromaha.org/,Mon - Thurs 10:00 am - 3:30 pm; Fri 10:00 am - 2:00 pm,Food Pantry
Trailblazers Pantry,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"815 N 16th St, Council Bluffs, IA 51501","815 N 16th St, Council Bluffs, IA 51501",815 N 16th St,Council Bluffs,IA,51501,(712) 328-2088,"Wed Snacks of Weds, 6:30 pm - 7:30 p.m.; Sat 1st and 3rd Sat of each month, 2:30 pm - 4:30 pm",Meal Provider
Trinity Lutheran Church Pantry,Requirements: None.,NA,"415 Antique City Dr, Walnut, IA 51577","415 Antique City Dr, Walnut, IA 51577",415 Antique City Dr,Walnut,IA,51577,(712) 249-0760,Thurs 4:00 pm - 6:00 pm,Food Pantry
United Methodist Church - Mondamin,"Requirements: Proof of residency (any local bill like water, electric, gas),TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"109 S Vine St, Mondamin, IA 51557","109 S Vine St, Mondamin, IA 51557",109 S Vine St,Mondamin,IA,51557,(402) 690-4692,Wed 5:00 pm - 6:30pm; Sun 11:30 am - 1:00 pm,Food Pantry
United Methodist Church (UMC) Ord Area Pantry,Requirements: Proof of residency (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"213 S 15th St, Ord, NE 68862","213 S 15th St, Ord, NE 68862",213 S 15th St,Ord,NE,68862,(308) 730-0069,Thurs 1:00 pm - 4:00 pm,Food Pantry
Vanua,"Requirements: Proof of residency (even outside of county) no USDA provided to out of state individuals, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"212 N Vine St, Glenwood, IA 51534","212 N Vine St, Glenwood, IA 51534",212 N Vine St,Glenwood,IA,51534,(402) 630-0105,"Mon - Fri By emergency appointment, Please call partner for more information.",Food Pantry
Vineyard Food Assistance,Requirements: ID (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"8333 Fort St, Omaha, NE 68134","8333 Fort St, Omaha, NE 68134",8333 Fort St,Omaha,NE,68134,(402) 740-2474,"Sat Third Sat of each month, 9:00 am - 12:00 pm",Food Pantry
Webster County Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"341 W 7th Ave, Red Cloud, NE 68970","341 W 7th Ave, Red Cloud, NE 68970",341 W 7th Ave,Red Cloud,NE,68970,(402) 257-7448,"Mon 1st Mon of each month, 8:00 am - 11:00 am",Food Pantry
West Central Community Action Harlan,"Requirements: Photo ID, Social Security card, proof of residency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1017 7th St, Harlan, IA 51537","1017 7th St, Harlan, IA 51537",1017 7th St,Harlan,IA,51537,(712) 755-5602,"Mon - Fri By appointment, 8:00 am - 1:00 pm; call for afternoon availability",Food Pantry
West Central Community Action Logan,"Requirements: Photo ID, Social Security card, proof of residency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"107 N 4th Ave, Logan, IA 51546","107 N 4th Ave, Logan, IA 51546",107 N 4th Ave,Logan,IA,51546,(712) 644-3388,"Mon - Fri By appointment, 9:00 am - 3:00 pm",Food Pantry
West Central Community Action Malvern,"Requirements: Basic intake form, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"313 Main St, Malvern, IA 51551","313 Main St, Malvern, IA 51551",313 Main St,Malvern,IA,51551,(712) 624-8172,"Mon - Fri By appointment, 8:00 am - 4:30 pm",Food Pantry
West Central Community Action Red Oak,"Requirements: Photo ID, Social Security card, proof of residency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1109 Highland Ave, Red Oak, IA 51566","1109 Highland Ave, Red Oak, IA 51566",1109 Highland Ave,Red Oak,IA,51566,(712) 623-2339,"Mon By appointment, 9:00 am - 12:00 pm and 1:00 p.m - 3:00 pm; Thurs By appointment, 9:00 am - 12:00 pm and 1:00 p.m - 3:00 pm",Food Pantry
West Central Community Action Sidney,"Requirements: Fremont county resident or homeless, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"910 Illinois St, Sidney, IA 51652","910 Illinois St, Sidney, IA 51652",910 Illinois St,Sidney,IA,51652,(712) 374-3367,"Mon - Thurs By appointment, 8:00 am - 4:30 pm; Fri By appointment, 8:00 am - 12:00 pm",Food Pantry
Women United Ministries,"Requirements: Proof of address, ID, Social Security card (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1202 E Browne St, Omaha, NE 68110","1202 E Browne St, Omaha, NE 68110",1202 E Browne St,Omaha,NE,68110,(402) 591-0354,Mon - Fri 9:00 am - 5:00 pm by appointment,Food Pantry
Woodbine Community Food Pantry,Requirements: Harrison county resident.,NA,"76 5th St, Woodbine, IA 51579","76 5th St, Woodbine, IA 51579",76 5th St,Woodbine,IA,51579,(712) 647-3434,Tues 4:00 pm - 6:00 pm; Thurs 4:00 pm - 6:00 pm,Food Pantry
